freq (Hz),H(f) (dB),H(f) (dB)
1.320E6,-1.571,-474.6E-3
1.340E6,-1.611,-448.4E-3
1.360E6,-1.651,-422.9E-3
1.380E6,-1.692,-398.0E-3
1.400E6,-1.733,-373.8E-3
1.420E6,-1.774,-350.2E-3
1.440E6,-1.815,-327.3E-3
1.460E6,-1.856,-305.1E-3
1.480E6,-1.897,-283.6E-3
1.500E6,-1.939,-262.8E-3
1.520E6,-1.981,-242.8E-3
1.540E6,-2.023,-223.4E-3
1.560E6,-2.065,-204.9E-3
1.580E6,-2.107,-187.0E-3
1.600E6,-2.149,-169.9E-3
1.620E6,-2.192,-153.6E-3
1.640E6,-2.234,-138.1E-3
1.660E6,-2.277,-123.4E-3
1.680E6,-2.320,-109.4E-3
1.700E6,-2.363,-96.31E-3
1.720E6,-2.406,-83.99E-3
1.740E6,-2.449,-72.49E-3
1.760E6,-2.492,-61.82E-3
1.780E6,-2.535,-51.98E-3
1.800E6,-2.578,-42.98E-3
1.820E6,-2.621,-34.82E-3
1.840E6,-2.664,-27.51E-3
1.860E6,-2.708,-21.05E-3
1.880E6,-2.751,-15.45E-3
1.900E6,-2.794,-10.71E-3
1.920E6,-2.838,-6.835E-3
1.940E6,-2.881,-3.822E-3
1.960E6,-2.925,-1.675E-3
1.980E6,-2.968,-396.5E-6
2.000E6,-3.012,13.24E-6
2.020E6,-3.055,-446.1E-6
2.040E6,-3.098,-1.774E-3
2.060E6,-3.142,-3.970E-3
2.080E6,-3.185,-7.033E-3
2.100E6,-3.229,-10.96E-3
2.120E6,-3.272,-15.75E-3
2.140E6,-3.315,-21.40E-3
2.160E6,-3.359,-27.91E-3
2.180E6,-3.402,-35.26E-3
2.200E6,-3.445,-43.47E-3
2.220E6,-3.488,-52.52E-3
2.240E6,-3.532,-62.41E-3
2.260E6,-3.575,-73.13E-3
2.280E6,-3.618,-84.67E-3
2.300E6,-3.661,-97.04E-3
2.320E6,-3.704,-110.2E-3
2.340E6,-3.747,-124.2E-3
2.360E6,-3.790,-139.0E-3
2.380E6,-3.833,-154.5E-3
2.400E6,-3.875,-170.9E-3
2.420E6,-3.918,-188.0E-3
2.440E6,-3.961,-205.9E-3
2.460E6,-4.003,-224.5E-3
2.480E6,-4.046,-243.9E-3
2.500E6,-4.088,-264.0E-3
2.520E6,-4.130,-284.8E-3
2.540E6,-4.173,-306.4E-3
2.560E6,-4.215,-328.6E-3
2.580E6,-4.257,-351.5E-3
2.600E6,-4.299,-375.1E-3
2.620E6,-4.341,-399.4E-3
2.640E6,-4.383,-424.3E-3
2.660E6,-4.425,-449.9E-3
2.680E6,-4.466,-476.1E-3
2.700E6,-4.508,-502.9E-3
2.720E6,-4.549,-530.3E-3
2.740E6,-4.591,-558.3E-3
2.760E6,-4.632,-586.9E-3
2.780E6,-4.673,-616.1E-3
2.800E6,-4.715,-645.8E-3
2.820E6,-4.756,-676.0E-3
2.840E6,-4.797,-706.8E-3
2.860E6,-4.837,-738.1E-3
2.880E6,-4.878,-769.9E-3
2.900E6,-4.919,-802.2E-3
2.920E6,-4.959,-835.0E-3
2.940E6,-5.000,-868.2E-3
2.960E6,-5.040,-901.9E-3
2.980E6,-5.080,-936.0E-3
3.000E6,-5.121,-970.6E-3
3.020E6,-5.161,-1.006
3.040E6,-5.201,-1.041
3.060E6,-5.240,-1.077
3.080E6,-5.280,-1.113
3.100E6,-5.320,-1.149
3.120E6,-5.359,-1.186
3.140E6,-5.399,-1.223
3.160E6,-5.438,-1.261
3.180E6,-5.477,-1.299
3.200E6,-5.516,-1.337
3.220E6,-5.555,-1.376
3.240E6,-5.594,-1.414
3.260E6,-5.633,-1.453
3.280E6,-5.672,-1.493
3.300E6,-5.710,-1.532
3.320E6,-5.749,-1.572
3.340E6,-5.787,-1.612
3.360E6,-5.825,-1.653
3.380E6,-5.863,-1.693
3.400E6,-5.901,-1.734
3.420E6,-5.939,-1.775
3.440E6,-5.977,-1.816
3.460E6,-6.015,-1.857
3.480E6,-6.052,-1.899
